RMSE,filter
{rmse_x:0.287757   rmse_Y:0.0196602  rmse_vx:5.19994  rmse_vY:0  },1
{rmse_x:0.211208   rmse_Y:0.0876373  rmse_vx:3.81773  rmse_vY:1.3965  },1
{rmse_x:0.177869   rmse_Y:0.0808428  rmse_vx:4.29483  rmse_vY:1.14027  },1
{rmse_x:0.232328   rmse_Y:0.0723767  rmse_vx:3.73094  rmse_vY:1.62848  },1
{rmse_x:0.242874   rmse_Y:0.0792752  rmse_vx:3.33855  rmse_vY:1.75481  },1
{rmse_x:0.233595   rmse_Y:0.0747625  rmse_vx:3.04874  rmse_vY:1.6587  },1
{rmse_x:0.221374   rmse_Y:0.0779532  rmse_vx:2.82518  rmse_vY:1.57359  },1
{rmse_x:0.21315   rmse_Y:0.0798946  rmse_vx:2.64297  rmse_vY:1.49142  },1
{rmse_x:0.204481   rmse_Y:0.0846139  rmse_vx:2.49237  rmse_vY:1.4195  },1
{rmse_x:0.196108   rmse_Y:0.0858565  rmse_vx:2.3649  rmse_vY:1.35091  },1
{rmse_x:0.189506   rmse_Y:0.08716  rmse_vx:2.25511  rmse_vY:1.29095  },1
{rmse_x:0.182434   rmse_Y:0.0836817  rmse_vx:2.15951  rmse_vY:1.2364  },1
{rmse_x:0.175302   rmse_Y:0.0816243  rmse_vx:2.07589  rmse_vY:1.1932  },1
{rmse_x:0.168955   rmse_Y:0.0794735  rmse_vx:2.00191  rmse_vY:1.15306  },1
{rmse_x:0.163473   rmse_Y:0.0784142  rmse_vx:1.93569  rmse_vY:1.11784  },1
{rmse_x:0.158494   rmse_Y:0.0771096  rmse_vx:1.87465  rmse_vY:1.08506  },1
{rmse_x:0.154044   rmse_Y:0.0748334  rmse_vx:1.81868  rmse_vY:1.05273  },1
{rmse_x:0.150082   rmse_Y:0.0727526  rmse_vx:1.7677  rmse_vY:1.02362  },1
{rmse_x:0.146079   rmse_Y:0.071104  rmse_vx:1.72057  rmse_vY:0.997622  },1
{rmse_x:0.142381   rmse_Y:0.0698433  rmse_vx:1.67717  rmse_vY:0.973822  },1
{rmse_x:0.139285   rmse_Y:0.0688891  rmse_vx:1.63721  rmse_vY:0.952077  },1
{rmse_x:0.136197   rmse_Y:0.0722168  rmse_vx:1.59958  rmse_vY:0.936466  },1
{rmse_x:0.133287   rmse_Y:0.0715122  rmse_vx:1.56443  rmse_vY:0.917405  },1
{rmse_x:0.13052   rmse_Y:0.070698  rmse_vx:1.53157  rmse_vY:0.899409  },1
{rmse_x:0.127887   rmse_Y:0.0708143  rmse_vx:1.50072  rmse_vY:0.8835  },1
{rmse_x:0.12542   rmse_Y:0.0730346  rmse_vx:1.47238  rmse_vY:0.8708  },1
{rmse_x:0.123515   rmse_Y:0.072815  rmse_vx:1.44604  rmse_vY:0.85617  },1
{rmse_x:0.121303   rmse_Y:0.0732837  rmse_vx:1.42002  rmse_vY:0.842841  },1
{rmse_x:0.119207   rmse_Y:0.0765917  rmse_vx:1.39536  rmse_vY:0.832858  },1
{rmse_x:0.117243   rmse_Y:0.0807971  rmse_vx:1.37206  rmse_vY:0.824422  },1
{rmse_x:0.115512   rmse_Y:0.086021  rmse_vx:1.34993  rmse_vY:0.817213  },1
{rmse_x:0.113724   rmse_Y:0.087962  rmse_vx:1.32901  rmse_vY:0.80695  },1
{rmse_x:0.112074   rmse_Y:0.089076  rmse_vx:1.30897  rmse_vY:0.796549  },1
{rmse_x:0.110443   rmse_Y:0.0904711  rmse_vx:1.29006  rmse_vY:0.787093  },1
{rmse_x:0.108856   rmse_Y:0.0925611  rmse_vx:1.27187  rmse_vY:0.778804  },1
{rmse_x:0.107489   rmse_Y:0.0936496  rmse_vx:1.25477  rmse_vY:0.770042  },1
{rmse_x:0.106553   rmse_Y:0.0927282  rmse_vx:1.23859  rmse_vY:0.759898  },1
{rmse_x:0.1056   rmse_Y:0.0915969  rmse_vx:1.22221  rmse_vY:0.750152  },1
{rmse_x:0.104375   rmse_Y:0.0904249  rmse_vx:1.20644  rmse_vY:0.740724  },1
